CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11024,MR.,RUSSELL,XIE,1978-09-17,M,M,russell7@adventure-works.com,60000.0,0.0,Partial College,Skilled Manual,Y
11039,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@adventure-works.com,30000.0,3.0,Partial College,Clerical,Y
11044,MR.,ADAM,FLORES,1949-05-24,M,M,adam10@adventure-works.com,20000.0,2.0,Partial High School,Clerical,Y
11094,MR.,CEDRIC,MA,1962-04-01,S,M,cedric15@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,N
11138,MS.,LAUREN,DAVIS,1978-09-15,M,F,lauren23@adventure-works.com,40000.0,0.0,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,1974-01-08,S,M,maurice4@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,N
11187,MRS.,JENNIFER,COOPER,1944-02-22,M,F,jennifer63@adventure-works.com,60000.0,4.0,Graduate Degree,Management,Y
11200,MR.,JASON,GRIFFIN,1947-11-22,M,M,jason18@adventure-works.com,70000.0,4.0,Bachelors,Management,Y
11222,MRS.,ALEXANDRA,RIVERA,1950-08-17,M,F,alexandra11@adventure-works.com,80000.0,3.0,Bachelors,Management,Y
11228,MRS.,ASHLEY,JONES,1951-04-19,M,F,ashley3@adventure-works.com,60000.0,2.0,Partial College,Professional,Y
11255,MR.,COLIN,LIN,1933-04-04,M,M,colin8@adventure-works.com,70000.0,4.0,Graduate Degree,Management,Y
11267,MR.,DAVID,DIAZ,1964-10-02,S,M,david55@adventure-works.com,120000.0,4.0,Partial College,Professional,Y
11300,MR.,FERNANDO,BARNES,1960-03-03,M,M,fernando47@adventure-works.com,80000.0,5.0,Partial College,Professional,N
11303,MRS.,JULIA,COLEMAN,1960-10-11,S,F,julia72@adventure-works.com,90000.0,4.0,High School,Professional,N
11328,MR.,JULIAN,GRIFFIN,1940-01-01,M,M,julian20@adventure-works.com,90000.0,5.0,Bachelors,Management,Y
11371,MS.,LACEY,JAI,1978-05-27,M,F,lacey1@adventure-works.com,20000.0,0.0,Bachelors,Clerical,Y
11401,MS.,LINDA,NAVARRO,1969-08-26,M,F,linda25@adventure-works.com,40000.0,0.0,Graduate Degree,Clerical,Y
11449,MR.,ALVIN,HU,1975-02-02,M,M,alvin19@adventure-works.com,80000.0,0.0,Bachelors,Professional,Y
11499,MR.,PEDRO,VANCE,1974-11-14,S,M,pedro4@adventure-works.com,40000.0,3.0,Partial College,Clerical,Y
